Custom Measurements: Custom Pattern Measurements V3.txt
	[84] Abdomen Circ [Tape]	[84h] Abdomen Circ Height	[33] Abdomen Rise	[88] X Bk Pit-to-Pit [Tape]	[178] Across Chest Arm to Arm Length	[172] Actual Ankle Circ L	[173] Actual Ankle Circ R	[174] Actual Knee Circ L	[175] Actual Knee Circ R	[176] Actual Mid Thigh Circ L	[177] Actual Mid Thigh Circ R	[91] Ankle Circ L	[92] Ankle Circ R	[14] Armhole Circ L [Vert]	[15] Armhole Circ R [Vert]	[16] Arm Length L	[17] Arm Length R	[18] Arm Under Length L	[19] Arm Under Length R	[133] Axilla Chest Circ [Tape]	[97] CB Neck to CB Chest [Tape]	[100] CB Neck to Shldr Blades [Tape]	[2] Bk Shoulder Width Horz	[162] Bk Vert Rise	[89] Bicep Circ L	[90] Bicep Circ R	[74] Bust Circ with Drop [Tape]	[11] Bust Width 1	[54] Calf Circ L	[55] Calf Circ R	[102] CFNck-Crotch-CBNck	[72] Chest/Bust Circ [Tape]	[128] Chin Height	[0] Collar/Mid Neck Circ	[36] Crotch Height	[37] Crotch Length Full	[122] Elbow Circ L [Tape]	[123] Elbow Circ R [Tape]	[122h] Elbow Circ L [Tape] Height	[123h] Elbow Circ R [Tape] Height	[81] Elbow Height Waist Circ [Tape]	[115] Forearm Circ L	[116] Forearm Circ R	[38]  Fr Vertical Rise	[95] CB Length [CB Nk - Waist] [Tape]	[149] High Hip Circ [Tape]	[150] High Hip to SoB Waist Length	[145] Hinged Upper Bust Circ	[85] Hip Circ [Tape]	[153] Hips 8 inches Down from SOB OPT Waist	[154] Hips 2 inches Above the Crotch	[40] Inseam Length L	[41] Inseam Length R	[48] Knee Circ L	[49] Knee Circ R	[151] Low Hip Circ	[152] Low Hip to SoB Length	[46] Mid Thigh Circ L	[47] Mid Thigh Circ R	[56] Min Low Leg Circ L	[57] Min Low Leg Circ R	[56h] Min Low Leg Circ L Height	[57h] Min Low Leg Circ R	[1] Neck Base Circ	[105] Opt SoB Waist  [Tape]	[105h] Opt SoB Waist [Tape] CB Height	[170] Armhole Circ Outer L [Pitch]	[171] Armhole Circ Outer R [Pitch]	[42] Outside Leg Length L	[43] Outside Leg Length R	[73] Over Arm Circ [Tape]	[86] Seat Circ [Tape]	[39] Seat Fold Height	[168] Shoulder Circ	[168h] Shoulder Circ Height	[3] Shoulder Length L	[4] Shoulder Length R	[12] SideNeck to Bust L [Tape]	[13] SideNeck to Bust R [Tape]	[20] Sleeve Length L	[21] Sleeve Length R	[83] Stomach Girth [Tape]	[99] Subject Height	[44] Thigh Circ L [2in down]	[45] Thigh Circ R [2in down]	[44h] Thigh Circ L [2in down] Height	[45h] Thigh Circ R [2in down] Height	[75] Underbust Circ [Tape]	[50] Under Knee Circ L	[51] Under Knee Circ R	[50h] Under Knee Circ L Height	[51h] Under Knee Circ R Height	[163] Upper Bust X Fr	[76] Low Waist Circ Pitched [Tape]	[76h] Low Waist Circ Pitched [Tape] Height	[93] Wrist Circ L	[94] Wrist Circ R	[234] Up Arm Circ L	[235] Up Arm Circ R	[179] Fr Crotch Length	[180] Bk Crotch Length	[001] Chest/Bust Circum Tape Measure	[002] Opt Small of back Waist Tape Measure	[003] Hip Circum Tape Measure	[004] Half Back Centre Tape Measure	[005] Neck Circumference	[006] Scye Depth (Vertical)	[007] Side Neck to Bust Length Right	[008] Side Neck to Bust to Waist R	[009] Across Back Tape Measurement	[010] Across Chest Arm to Arm Length	[011] Shoulder Length Right	[012] Bust Width	[013] Upper Hip SOB -10cm	[014] Waist to Knee Length	[015] Waist to Hip Length	[016] Skirt Length	[017] Thigh Circ R	[018] Knee Circ R	[019] Ankle Circ R	[020] Waist to Crotch Length (Body Rise)	[021] Waist to Ankle (Outside Leg)	[022] Crotch to Ankle (Inside Leg)	[023] Sleeve Lenght R	[024] Bicep Circ	[025] Shoulder to Elbow	[026] Fr Waist Arc	[027] Bk Waist Arc	[028] Fr Abdomen Arc	[029] Bk Abdomen Arc	[030] Bk Seat Arc	[031] Fr Hip Arc	[032] Bk Hip Arc	[033] Waist to Abdomen	[034] Waist to Seat	[035] Depth of Sleevehead 1	[036] Depth of Sleevehead 2	[037] R Sideseam Uplift	
A229FA26 May 18 2015 08_39.obj	88.60	96.04	17.96	29.60	28.39	25.96	25.66	40.06	38.68	46.88	46.59	26.01	25.66	43.06	46.84	56.43	56.56	44.71	45.66	84.89	25.85	20.35	38.03	28.03	28.47	27.26	84.15	12.28	39.13	37.51	143.82	85.60	144.84	33.38	78.07	73.01	25.94	23.55	109.14	106.97	68.21	23.97	22.94	28.03	41.45	89.02	11.39	83.90	97.09	96.18	97.09	79.01	78.94	36.18	35.95	97.09	23.00	45.08	44.93	24.85	24.56	10.52	10.39	37.10	69.42	106.10	40.74	45.10	106.94	107.09	103.95	95.23	79.73	94.13	133.69	10.98	11.05	24.41	25.07	71.60	73.91	83.86	169.11	56.57	56.99	72.99	72.99	76.25	35.44	34.92	42.42	41.70	36.20	86.51	106.10	15.48	15.49	29.52	28.70	36.20	36.82	85.60	69.42	97.09	41.45	37.10	20.50	25.07	41.71	29.60	28.39	11.05	19.40	88.95	61.41	22.79	68.21	56.99	35.95	25.66	28.03	98.58	70.56	56.56	27.26	34.16	43.30	43.14	40.77	47.70	51.42	44.36	52.69	10.06	19.02	18.23	12.76	0.99	
A232FA23 May 18 2015 09_38.obj	95.61	97.44	19.14	34.54	32.97	26.28	24.71	28.73	39.15	37.05	49.85	24.75	24.71	47.23	49.66	56.24	57.94	42.19	43.97	103.65	24.22	19.27	44.57	31.50	31.16	30.79	98.55	17.11	37.03	37.54	145.53	102.98	147.44	34.34	78.30	79.40	26.96	27.16	111.83	109.23	80.72	26.29	27.09	31.50	39.81	96.08	14.51	97.68	103.36	98.00	102.85	78.74	78.78	36.59	36.63	103.36	29.00	47.34	48.23	24.44	24.85	12.24	12.19	38.63	81.08	109.80	44.67	46.72	110.40	110.40	117.69	101.03	79.08	104.76	135.50	12.10	12.66	25.16	25.80	74.09	76.66	91.07	171.02	58.08	59.78	73.22	73.22	84.23	34.45	34.39	41.80	41.92	44.84	92.81	109.80	16.54	17.51	33.82	34.45	39.15	40.25	102.98	81.08	103.36	39.81	38.63	23.10	25.80	41.93	34.54	32.97	12.66	22.60	94.80	63.92	29.02	70.72	59.78	36.63	24.71	31.50	100.30	68.80	57.94	30.79	32.81	49.61	43.14	44.63	50.87	53.96	48.09	55.22	12.36	23.61	15.34	13.88	0.60	
A233FA25 May 18 2015 09_43.obj	89.59	93.90	19.28	37.87	30.96	22.04	23.27	34.60	34.13	41.73	41.58	22.04	22.12	45.23	46.97	63.58	55.44	50.88	43.72	94.82	24.09	19.31	44.93	29.40	26.91	26.98	89.33	14.11	33.43	33.97	145.18	93.59	146.25	33.86	74.63	73.60	23.16	23.19	105.22	103.50	73.49	22.58	22.30	29.40	41.26	91.33	12.86	92.49	102.11	99.21	101.88	75.57	75.21	32.77	32.78	102.11	26.00	40.33	40.57	22.27	22.33	11.21	11.21	37.69	73.89	104.03	40.32	40.75	105.03	104.81	109.38	99.40	75.80	101.87	130.62	12.31	12.08	22.73	24.42	81.47	74.74	85.30	168.19	52.21	52.30	69.55	69.55	78.89	31.69	31.54	41.56	41.45	36.72	87.55	104.03	18.11	15.31	28.35	28.82	36.09	37.52	93.59	73.89	102.11	41.26	37.69	21.97	24.42	41.80	37.87	30.96	12.08	18.00	90.00	59.14	25.71	65.94	52.30	32.78	22.12	29.40	92.82	63.42	55.44	26.98	33.79	44.97	42.52	43.35	46.11	50.15	48.86	53.20	10.13	20.51	15.18	12.58	0.78	
A234FA37 May 18 2015 09_57.obj	93.86	100.12	21.07	31.70	30.79	28.10	27.75	39.28	32.59	46.77	39.18	28.34	27.75	48.54	50.87	56.98	58.04	45.19	46.72	98.53	26.72	18.28	48.09	32.92	28.38	28.16	92.75	15.38	40.31	41.23	153.51	96.74	152.70	34.66	79.05	82.47	26.53	26.89	110.09	108.64	78.22	25.51	26.23	32.92	41.25	96.89	13.88	92.90	105.02	101.91	105.02	80.22	79.65	37.97	37.84	105.01	28.00	46.40	46.72	26.92	26.19	10.66	10.44	41.74	76.43	111.97	51.89	44.39	112.57	113.35	115.03	103.27	80.68	106.62	138.74	13.85	13.77	28.14	29.11	78.34	79.50	86.24	174.23	56.72	57.20	73.97	73.97	79.40	37.31	37.46	43.23	43.42	38.98	89.47	111.97	17.82	17.41	30.04	32.53	40.57	41.90	96.74	76.43	105.02	41.25	41.74	22.26	29.11	43.74	31.70	30.79	13.77	19.60	91.77	66.65	27.75	73.45	57.20	37.84	27.75	32.92	104.23	71.31	58.04	28.16	36.95	46.27	43.15	46.95	46.78	53.78	48.88	56.09	11.85	22.92	18.37	13.40	1.38	
A235FA29 May 18 2015 09_48.obj	86.88	98.73	18.55	25.74	30.78	21.25	21.74	34.19	34.64	42.34	42.66	21.27	21.74	41.64	40.44	56.73	56.99	45.04	45.75	93.78	21.70	18.51	40.46	29.26	26.88	25.05	89.43	12.89	33.91	33.78	135.02	93.86	147.20	34.49	80.18	74.70	22.77	22.25	107.37	106.72	72.70	22.60	21.75	29.26	35.95	88.63	12.79	88.05	91.96	91.42	91.89	80.95	80.95	33.54	34.23	91.96	25.50	41.84	42.62	21.30	20.34	12.20	14.59	39.79	70.67	109.43	39.77	38.22	110.38	109.90	110.13	91.64	81.34	96.92	134.19	10.74	11.94	25.40	28.23	74.07	74.38	81.06	170.58	50.61	52.08	75.10	75.10	75.62	31.22	30.63	41.86	41.56	40.52	83.27	109.43	14.74	14.13	29.02	27.07	36.40	38.30	93.86	70.67	91.96	35.95	39.79	17.29	28.23	42.81	25.74	30.78	11.94	21.80	86.81	62.59	25.58	69.39	52.08	34.23	21.74	29.26	99.95	70.70	56.99	25.05	34.81	43.87	39.35	41.06	45.70	49.27	42.35	49.57	10.70	21.26	17.07	12.22	0.47	
A236FA28 May 18 2015 09_52.obj	100.03	92.57	20.18	33.80	31.95	25.81	25.85	38.22	37.97	47.48	47.51	25.84	25.85	46.69	46.84	57.00	55.25	42.20	42.78	101.08	21.51	18.76	41.18	31.03	30.98	30.37	94.86	11.14	39.27	39.11	147.62	100.13	141.80	33.52	72.40	78.82	25.00	24.35	105.48	102.87	80.04	23.98	23.47	31.03	38.37	103.07	13.32	95.61	114.35	109.97	114.31	76.02	74.90	37.89	37.37	114.35	26.50	47.34	47.15	26.04	25.92	9.21	11.57	38.03	81.26	103.43	45.47	43.99	104.37	104.77	113.22	107.90	73.79	102.42	129.18	11.53	12.08	24.84	24.64	72.87	74.27	92.82	165.80	60.37	59.86	67.32	67.32	82.49	36.67	36.59	37.80	40.16	39.49	94.92	103.43	15.88	16.09	33.21	33.84	38.38	40.44	100.13	81.26	114.35	38.37	38.03	21.20	24.64	41.75	33.80	31.95	12.08	18.70	99.18	60.78	26.63	67.58	59.86	37.37	25.85	31.03	94.22	63.19	55.25	30.37	32.50	51.08	43.78	48.85	51.07	55.85	57.81	56.49	10.85	18.72	14.25	13.33	1.34	
A237FD29 May 18 2015 10_02.obj	82.53	94.27	17.81	28.85	29.58	22.89	22.79	33.79	34.49	44.18	44.39	22.88	22.79	43.71	42.86	57.18	54.50	43.54	43.63	89.40	22.08	19.14	39.51	26.91	27.59	25.51	83.95	13.12	35.10	35.45	144.94	87.47	148.43	34.46	76.46	68.30	23.42	23.11	106.87	105.79	68.16	23.33	22.67	26.91	40.52	84.93	12.37	85.37	97.40	94.59	96.07	77.15	76.96	33.00	34.03	97.40	24.50	43.73	44.23	22.67	22.35	11.92	11.76	40.36	70.50	103.37	41.05	39.93	104.32	104.21	105.45	92.50	77.15	96.94	132.06	10.86	10.91	24.75	25.77	72.94	72.56	79.11	168.84	54.95	54.50	71.38	71.38	72.69	30.88	31.26	41.52	40.85	42.27	80.80	103.37	15.41	13.96	28.64	27.93	33.74	34.56	87.47	70.50	97.40	40.52	40.36	18.99	25.77	44.35	28.85	29.58	10.91	19.10	83.45	58.52	24.73	65.32	54.50	34.03	22.79	26.91	94.00	67.09	54.50	25.51	32.86	42.03	38.71	39.92	42.46	46.98	44.99	52.38	9.10	18.58	15.55	12.32	0.83	
A238FA23 May 18 2015 10_09.obj	89.67	90.78	19.84	32.71	31.81	23.02	24.69	36.79	37.42	47.83	48.21	23.02	23.38	45.20	47.49	55.10	52.23	41.61	40.06	98.21	20.57	18.70	39.22	30.19	31.06	28.42	92.91	13.49	35.75	36.42	141.57	97.34	138.36	33.94	70.94	78.41	24.13	24.53	103.38	103.09	77.71	24.08	23.93	30.19	37.32	92.07	14.14	93.90	107.28	99.27	106.41	73.08	72.75	37.09	37.25	107.28	28.50	48.31	48.53	23.40	23.74	9.12	9.12	38.50	75.76	101.13	45.20	45.20	102.82	102.28	113.50	104.43	71.54	100.49	126.97	8.52	11.41	23.94	25.31	70.21	69.57	83.81	164.19	59.68	61.13	65.86	65.86	84.43	35.34	35.96	38.37	38.00	40.72	86.00	101.13	15.82	15.40	33.37	32.98	38.32	40.09	97.34	75.76	107.28	37.32	38.50	18.78	25.31	43.49	32.71	31.81	11.41	19.40	89.66	59.29	28.28	66.09	61.13	37.25	23.38	30.19	92.01	61.82	52.23	28.42	31.36	45.33	40.61	42.13	47.40	53.33	52.72	54.52	10.35	23.00	15.29	13.32	1.15	
A239FA39 May 18 2015 10_13.obj	94.06	94.81	20.12	24.01	31.13	25.98	26.07	42.90	43.23	51.02	50.91	26.02	26.07	48.13	45.53	51.42	51.93	40.22	40.48	88.00	25.41	19.40	39.05	30.97	36.24	30.95	91.10	13.67	38.11	39.16	143.11	91.89	144.81	36.30	74.70	80.83	27.28	25.22	108.91	109.72	78.48	26.57	24.49	30.97	38.37	97.61	14.03	84.68	101.15	99.11	100.93	75.98	76.05	39.29	40.30	101.15	28.00	49.29	49.14	25.33	24.73	10.00	10.21	42.66	78.92	105.67	43.32	43.16	106.40	106.41	109.65	99.44	82.24	96.92	131.14	12.97	9.62	25.90	27.60	67.76	69.23	88.49	165.98	58.80	58.82	69.62	69.62	78.90	37.70	38.38	38.75	38.36	40.22	89.47	105.67	16.06	15.89	43.94	30.78	39.51	41.33	91.89	78.92	101.15	38.37	42.66	19.67	27.60	40.24	24.01	31.13	9.62	20.80	93.32	62.81	28.05	69.61	58.82	40.30	26.07	30.97	98.29	67.32	51.93	30.95	29.46	46.90	42.52	46.68	47.26	52.05	47.52	53.58	10.86	21.17	19.21	13.36	0.74	
A240FA24 May 18 2015 10_19.obj	121.80	88.37	16.26	40.30	38.60	27.67	30.72	42.86	43.10	54.84	55.67	27.67	29.40	58.08	53.24	53.58	55.23	38.64	39.55	124.20	24.71	19.71	48.99	31.54	36.40	37.42	119.57	19.01	43.75	45.11	156.23	125.38	144.81	39.32	72.11	87.71	28.64	29.81	106.83	105.30	103.49	27.85	28.53	31.54	41.77	118.27	7.28	116.36	122.31	118.54	111.60	73.41	73.42	41.42	41.54	122.30	14.50	54.11	54.89	27.15	27.88	13.81	11.50	41.57	106.94	103.65	51.58	53.60	104.53	104.30	133.16	119.48	77.47	117.91	130.78	16.09	12.03	29.85	29.46	74.33	75.30	116.96	166.73	65.11	67.04	67.03	67.03	105.70	39.93	40.53	39.91	39.58	47.07	119.93	103.65	17.75	17.46	39.92	41.51	43.22	44.49	125.38	106.94	122.31	41.77	41.57	23.66	29.46	46.03	40.30	38.60	12.03	25.50	120.00	61.12	14.57	67.92	67.04	41.54	29.40	31.54	94.38	62.85	55.23	37.42	32.46	64.65	55.22	62.06	59.63	58.40	63.24	59.03	15.27	19.27	16.09	14.75	0.65	
A241FA26 May 19 2015 06_57.obj	110.42	89.04	10.52	36.61	39.20	27.95	28.73	40.97	40.53	53.44	53.67	27.93	28.73	55.30	55.96	55.08	57.98	40.60	42.49	119.53	25.97	20.45	45.40	31.98	33.74	33.67	112.37	17.65	42.07	42.90	153.26	119.17	149.37	39.92	78.52	86.04	27.93	28.57	111.40	109.47	96.01	27.89	28.86	31.98	41.33	111.61	13.28	114.21	113.05	110.49	113.04	79.98	79.94	41.55	42.37	113.05	26.50	54.05	55.22	25.90	27.24	13.12	10.40	43.41	96.10	110.49	49.03	51.35	112.04	111.36	129.27	110.92	80.23	115.40	137.05	15.05	15.25	28.11	27.86	75.73	78.39	111.74	172.64	65.99	66.55	73.44	73.44	105.46	37.77	37.85	43.44	42.76	49.94	109.11	110.49	18.75	18.74	37.81	37.44	42.96	43.08	119.17	96.10	113.05	41.33	43.41	23.96	27.86	44.08	36.61	39.20	15.25	22.60	111.78	61.60	26.56	68.40	66.55	42.37	28.73	31.98	102.82	70.85	57.98	33.67	34.69	53.84	55.23	54.16	56.12	56.31	57.16	55.87	21.46	21.66	17.43	15.20	0.86	
A243FA24B May 19 2015 07_06.obj	95.88	94.16	14.69	37.93	30.45	22.66	24.66	37.29	37.56	45.64	47.21	22.66	23.53	45.54	49.56	58.24	55.79	43.70	43.90	102.08	24.01	19.52	41.02	28.98	27.89	27.71	96.04	12.12	34.76	35.18	143.01	102.03	145.45	33.81	79.47	74.21	24.42	24.45	106.66	103.66	89.22	23.29	23.48	28.98	40.55	96.17	13.12	96.62	100.72	98.95	100.42	80.67	80.57	38.09	37.61	100.72	26.00	46.38	47.44	22.58	23.69	14.58	14.38	37.68	82.67	108.45	42.50	55.89	109.19	109.33	113.48	99.04	80.33	102.69	132.86	11.64	10.73	24.13	24.03	74.78	76.16	95.59	170.60	56.11	57.94	74.39	74.39	83.26	34.88	34.97	40.27	40.08	41.66	93.42	108.45	17.22	16.31	32.20	32.15	37.09	37.12	102.03	82.67	100.72	40.55	37.68	24.97	24.03	39.21	37.93	30.45	10.73	19.30	95.95	60.96	26.25	67.76	57.94	37.61	23.53	28.98	97.08	68.10	55.79	27.71	35.01	46.40	46.96	48.17	47.58	50.15	49.52	51.17	14.30	20.50	13.60	13.60	0.88	
A245FA36 May 19 2015 07_14.obj	83.42	84.59	16.88	28.60	30.38	24.40	22.96	36.18	36.71	44.13	44.17	23.31	22.96	43.27	44.43	54.83	53.68	42.51	41.83	91.62	21.85	18.94	39.65	26.13	27.98	27.47	87.19	13.86	33.46	34.17	140.77	90.24	134.99	33.71	67.71	66.65	24.37	24.06	97.41	97.92	73.08	23.10	24.68	26.13	39.82	87.92	12.82	89.43	95.68	94.67	95.05	69.24	69.98	34.84	36.00	95.75	26.00	42.91	43.79	22.56	23.34	11.17	8.76	37.86	78.02	93.84	41.06	42.89	94.62	94.51	107.19	92.52	67.87	98.61	122.10	10.91	11.70	24.61	24.06	71.13	70.30	82.58	157.63	52.93	52.89	62.63	62.63	76.43	32.87	33.70	36.30	35.47	39.93	82.74	93.84	16.14	15.53	29.47	29.86	32.69	33.96	90.24	78.02	95.68	39.82	37.86	18.74	24.06	42.83	28.60	30.38	11.70	18.20	84.42	53.88	25.63	60.68	52.89	36.00	22.96	26.13	85.08	58.95	53.68	27.47	31.65	42.07	40.60	41.81	41.47	46.93	46.76	48.86	9.25	17.32	16.56	13.22	0.67	
A246FA28B May 19 2015 07_27.obj	95.76	83.54	17.10	31.21	31.84	23.71	24.10	38.44	38.68	46.10	46.23	23.73	24.10	47.02	47.47	51.29	52.28	37.35	39.60	100.70	20.55	18.55	39.40	28.07	31.79	29.53	93.60	15.27	36.84	37.20	143.07	99.84	133.51	33.29	66.44	72.37	24.78	25.38	99.30	97.61	79.15	24.47	25.12	28.07	38.84	96.41	11.18	95.94	98.41	97.89	98.32	67.68	67.33	36.96	37.24	98.40	22.50	45.28	45.39	22.77	23.90	11.16	11.06	36.72	79.83	94.51	45.09	45.28	95.90	95.59	112.52	96.95	68.24	100.52	121.94	10.75	11.36	25.00	25.54	66.92	70.07	91.62	158.36	56.49	56.53	61.36	61.36	86.01	34.15	34.80	35.74	35.79	43.75	92.65	94.51	16.68	17.29	34.57	32.47	35.78	36.59	99.84	79.83	98.41	38.84	36.72	19.57	25.54	44.64	31.21	31.84	11.36	21.10	95.55	55.18	22.36	61.98	56.53	37.24	24.10	28.07	85.71	57.64	52.28	29.53	30.82	46.27	46.32	48.03	47.59	48.25	46.97	51.40	10.97	17.23	14.38	13.19	1.08	
A247FA23 May 19 2015 08_24.obj	90.50	87.39	18.53	31.06	31.43	23.37	26.08	36.34	37.31	45.34	46.66	23.37	24.42	42.10	42.84	51.46	52.83	39.48	41.39	94.61	22.13	18.96	35.31	29.12	28.76	27.51	89.09	14.34	35.83	36.45	140.05	93.65	133.50	32.44	68.86	73.94	23.94	23.67	100.41	98.53	72.89	23.77	24.02	29.12	38.04	93.78	13.19	89.88	96.99	95.22	96.71	70.36	70.68	35.64	36.68	96.99	26.50	44.40	46.29	22.47	23.14	11.33	11.15	36.49	72.61	97.98	40.81	43.17	99.20	98.76	105.81	94.53	69.73	95.67	122.37	12.07	9.88	23.03	22.24	67.20	68.82	84.08	157.04	54.18	55.13	63.78	63.78	78.05	34.49	35.33	37.66	36.07	40.17	87.17	97.98	16.62	16.28	31.48	30.39	36.40	37.55	93.65	72.61	96.99	38.04	36.49	20.89	22.24	37.37	31.06	31.43	9.88	19.80	90.15	57.44	26.38	64.24	55.13	36.68	24.42	29.12	89.26	60.13	52.83	27.51	30.20	45.87	41.25	44.71	45.68	49.59	46.80	50.14	10.60	18.43	13.83	12.17	0.78	
A248FA29 May 19 2015 07_31.obj	89.06	95.19	19.92	34.55	31.05	25.58	27.27	41.40	41.48	46.93	47.98	25.58	26.07	42.95	47.45	56.73	55.45	43.00	42.34	94.36	23.96	19.29	37.34	30.55	29.95	28.51	91.07	12.79	38.68	38.73	141.20	93.80	144.16	35.14	75.27	77.70	25.46	26.21	105.92	103.90	77.63	25.42	25.80	30.55	38.88	91.24	12.64	91.83	105.18	101.68	105.18	76.23	75.99	39.75	40.19	105.18	25.50	45.96	47.29	25.94	25.93	12.18	12.38	39.46	77.07	105.83	42.60	44.99	106.63	106.69	107.91	102.32	76.94	99.05	130.76	11.29	11.08	24.91	25.74	72.17	73.14	85.39	167.72	57.33	59.03	70.19	70.19	85.32	38.05	38.47	40.85	39.86	39.34	87.07	105.83	16.30	16.27	31.45	29.31	37.88	39.82	93.80	77.07	105.18	38.88	39.46	21.86	25.74	39.82	34.55	31.05	11.08	19.70	88.93	61.62	25.28	68.42	59.03	40.19	26.07	30.55	96.51	65.96	55.45	28.51	34.79	46.40	40.61	43.27	45.68	54.11	50.55	54.59	10.64	20.83	16.87	14.49	0.87	
A249FA23 May 19 2015 08_29.obj	83.35	94.68	17.17	30.05	30.25	22.72	24.86	36.06	36.57	43.25	43.24	22.72	23.59	40.18	43.77	55.35	55.48	42.71	42.63	89.11	22.21	19.59	35.32	26.96	27.86	29.56	86.12	11.92	34.88	34.33	143.42	89.90	144.33	31.09	77.51	69.38	25.02	26.35	109.14	108.62	69.93	24.25	25.38	26.94	41.17	85.70	11.36	85.33	97.28	96.48	97.16	78.56	78.20	33.90	33.90	97.26	22.50	42.47	42.27	22.65	23.31	12.06	14.48	36.30	71.64	104.47	39.87	41.92	105.44	105.18	104.67	95.06	78.85	93.78	133.10	9.86	9.56	22.41	24.61	70.17	70.17	81.25	169.04	52.92	52.31	72.43	72.43	73.76	32.27	31.80	42.22	41.93	39.30	82.12	104.46	14.62	15.82	29.16	29.81	34.24	35.14	89.90	71.64	97.28	41.17	36.30	19.94	24.61	43.46	30.05	30.25	9.56	17.90	83.87	59.06	22.73	65.86	52.31	33.90	23.59	26.96	95.08	68.12	55.48	29.56	32.14	43.36	38.70	40.79	42.47	50.15	45.60	51.62	9.79	18.46	16.06	13.56	0.72	
A250FA23 May 19 2015 08_33-BkNk-L-RShldr.obj	88.05	88.30	16.71	34.04	30.59	25.47	25.52	37.55	36.80	45.56	45.59	25.67	25.52	41.59	45.54	54.37	54.56	41.19	43.56	93.19	25.05	19.73	38.82	26.55	27.47	25.52	88.62	12.88	35.69	36.06	142.74	91.57	140.37	34.59	71.58	68.36	24.05	24.16	102.24	100.29	73.42	24.11	24.13	26.55	42.93	90.15	11.39	90.21	100.02	99.48	99.81	72.55	72.36	37.61	37.45	100.02	23.00	45.73	46.00	24.14	24.27	12.61	10.09	39.27	78.31	98.13	40.65	45.46	98.88	98.87	110.08	97.78	72.78	102.17	126.19	12.24	11.39	26.41	25.77	71.11	71.70	86.11	166.73	55.30	55.64	66.50	66.50	74.30	34.11	34.23	38.80	39.40	37.58	86.82	98.13	15.59	15.89	29.33	28.07	33.99	34.37	91.57	78.31	100.02	42.93	39.27	21.02	25.77	43.96	34.04	30.59	11.39	18.00	88.60	53.33	22.78	60.13	55.64	37.45	25.52	26.55	90.72	64.18	54.56	25.52	33.56	44.88	41.88	46.07	41.87	49.51	46.87	53.10	9.84	17.92	17.00	12.33	0.74	
A252FA27 May 19 2015 08_41.obj	89.83	100.39	20.61	28.92	34.59	21.43	23.04	35.98	36.54	45.05	46.00	21.43	22.48	47.23	48.01	55.73	55.22	41.62	43.11	108.98	23.80	19.01	41.14	31.36	30.47	29.33	102.77	14.54	35.88	35.39	149.21	105.83	149.56	36.26	79.77	77.87	25.84	26.60	111.98	110.44	80.03	25.76	26.12	31.36	38.66	90.70	13.73	103.52	101.36	97.37	101.20	80.89	81.78	35.35	36.79	101.36	27.50	44.81	46.24	21.59	22.67	11.60	11.60	40.35	80.08	111.14	44.39	45.42	111.89	111.74	121.42	100.39	81.01	108.96	136.66	13.11	12.06	28.40	28.99	73.38	75.14	87.31	174.02	55.98	57.56	74.69	74.69	89.80	33.41	33.22	43.21	42.40	47.41	88.62	111.14	16.66	16.12	32.06	32.76	39.00	38.87	105.83	80.08	101.36	38.66	40.35	21.11	28.99	42.97	28.92	34.59	12.06	21.90	90.10	63.36	27.46	70.16	57.56	36.79	22.48	31.36	99.54	68.17	55.22	29.33	33.32	47.33	41.25	44.57	45.13	52.05	46.90	54.41	10.75	23.97	16.68	13.54	0.61	
A253FA27 May 19 2015 09_28.obj	106.59	98.46	18.24	36.29	35.29	26.55	27.78	41.84	41.09	53.94	54.58	26.61	27.78	50.28	50.96	58.70	59.31	45.94	46.64	107.63	25.61	19.10	48.14	29.17	30.32	30.96	107.15	16.59	40.92	42.40	153.54	108.11	150.15	36.52	80.22	77.00	24.45	25.25	112.26	108.58	91.16	24.15	25.08	29.17	43.95	107.96	12.07	101.27	114.77	113.08	114.77	81.62	81.35	41.74	41.58	114.77	24.50	54.05	55.03	25.10	26.41	10.53	10.33	59.66	93.49	109.39	46.04	46.88	110.06	109.98	122.76	112.00	81.81	110.81	139.46	15.46	13.02	28.35	28.90	78.63	81.54	104.62	175.24	63.86	65.52	75.14	75.14	94.35	37.43	37.53	43.14	43.65	44.01	105.17	109.39	15.77	17.21	33.71	33.01	38.21	38.79	108.11	93.49	114.77	43.95	59.66	23.28	28.90	46.63	36.29	35.29	13.02	21.30	106.44	59.46	24.13	66.26	65.52	41.58	27.78	29.17	101.60	72.43	59.31	30.96	37.02	56.25	48.87	50.43	56.05	59.04	55.96	58.76	10.93	18.95	16.76	14.32	0.59	
